hari,tanggal,jam,minggu,tema_mingguan,format,pilar,hook_di_gambar,arahan_visual,cta_caption
1,2026-08-05,19:17 WIB,1,Perkenalan yang tenang,Single Foto,Brand,"Yang terlihat sederhana, biasanya punya proses panjang.","Teknisi berdiri di samping instalasi, candid, cahaya sore.",Simpan sebagai pengingat kecil.
2,2026-08-06,19:17 WIB,1,Perkenalan yang tenang,Carousel Foto,Brand,Kenalan dengan pekerjaan di balik aliran air.,"3 foto: ruang kerja, detail pipa, tangan teknisi.",Simpan sebagai pengingat kecil.
3,2026-08-07,19:17 WIB,1,Perkenalan yang tenang,Single Foto,Produk,Detail kecil yang ikut menjaga isi di dalamnya.,"Close-up tutup galon di meja kerja, tanpa kemasan berlebihan.",Detail kebutuhannya bisa dibicarakan pelan-pelan.
4,2026-08-08,19:17 WIB,1,Perkenalan yang tenang,Carousel Foto,Layanan,"Sebelum air mengalir, sistemnya perlu dipikirkan.","Urutan survei, penataan, lalu instalasi.",Ceritakan kondisi ruang dan kebutuhannya.
5,2026-08-09,19:17 WIB,1,Perkenalan yang tenang,Single Foto,Human,Hari kerja dimulai dari memeriksa hal-hal kecil.,Momen autentik teknisi mengecek sambungan.,Begini kurang lebih keseharian kami.
6,2026-08-10,19:17 WIB,1,Perkenalan yang tenang,Single Foto,Soft Sell,"Kalau sistemnya rapi, pekerjaan terasa lebih ringan.",Wide shot instalasi yang bersih dan teratur.,"Kalau waktunya tepat, mari bicarakan kebutuhannya."
7,2026-08-11,19:17 WIB,1,Perkenalan yang tenang,Carousel Text Only,Text Only,AIR YANG BAIK / PUNYA CERITA / DI BALIKNYA.,4 slide tipografi cinematic minimalist; tanpa foto; logo identik di kanan bawah.,"Geser, lalu simpan bagian yang paling terasa."
8,2026-08-12,19:17 WIB,2,Bening belum tentu selesai,Single Foto,Edukasi,Bening adalah awal. Konsisten adalah tujuannya.,"Gelas air dengan pantulan alami, latar ruang kerja.",Simpan kalau suatu hari ingin mengeceknya lagi.
9,2026-08-13,19:17 WIB,2,Bening belum tentu selesai,Carousel Foto,Edukasi,Tiga hal yang layak diperhatikan selain tampilan air.,"Detail aliran, housing filter, dan area kerja.",Simpan kalau suatu hari ingin mengeceknya lagi.
10,2026-08-14,19:17 WIB,2,Bening belum tentu selesai,Single Foto,Human,Pemeriksaan rutin terlihat sepele sampai suatu hari dilewatkan.,Teknisi membaca meter tekanan secara candid.,Begini kurang lebih keseharian kami.
11,2026-08-15,19:17 WIB,2,Bening belum tentu selesai,Carousel Foto,Edukasi,Kenapa aliran dan tekanan perlu diperhatikan bersama.,Rangkaian foto gauge dan sambungan pipa.,Simpan kalau suatu hari ingin mengeceknya lagi.
12,2026-08-16,19:17 WIB,2,Bening belum tentu selesai,Single Foto,Brand,Tenang bukan berarti diam. Sistem yang baik tetap bekerja.,Mesin menyala dengan lampu indikator lembut.,Simpan sebagai pengingat kecil.
